,timestamp,x,y,polarity,_p1,_p2,predict
0,15924.91125,152.0,108.0,1.0,0.0,0.0,1.0
1,15927.311249999999,137.0,116.0,0.0,0.0,0.0,1.0
2,15928.13625,152.0,125.0,1.0,0.0,0.0,1.0
3,15929.175,152.0,104.0,1.0,0.0,0.0,1.0
4,15929.276249999999,154.0,103.0,1.0,0.0,0.0,1.0
5,15929.388749999998,153.0,126.0,1.0,0.0,0.0,1.0
6,15929.5425,137.0,114.0,0.0,0.0,0.0,1.0
7,15929.6475,148.0,122.0,1.0,0.0,0.0,1.0
8,15929.73,161.0,116.0,1.0,0.0,0.0,1.0
9,15929.759999999998,154.0,102.0,1.0,0.0,0.0,1.0
10,15930.284999999998,154.0,104.0,1.0,0.0,0.0,1.0
11,15930.359999999999,138.0,109.0,0.0,0.0,0.0,1.0
12,15930.85875,160.0,115.0,1.0,0.0,0.0,1.0
13,15931.106249999999,154.0,108.0,1.0,0.0,0.0,1.0
14,15931.391249999999,144.0,116.0,0.0,0.0,0.0,1.0
15,15931.443749999999,156.0,122.0,1.0,0.0,0.0,1.0
16,15931.736249999998,137.0,121.0,0.0,0.0,0.0,1.0
17,15931.74375,150.0,122.0,1.0,0.0,0.0,1.0
18,15931.7475,149.0,111.0,0.0,0.0,0.0,1.0
19,15932.339999999998,143.0,118.0,0.0,0.0,0.0,1.0
20,15932.5875,161.0,120.0,1.0,0.0,0.0,1.0
21,15932.763749999998,160.0,121.0,1.0,0.0,0.0,1.0
22,15932.835,144.0,111.0,0.0,0.0,0.0,1.0
23,15933.0225,139.0,108.0,0.0,0.0,0.0,1.0
24,15933.052499999998,162.0,117.0,1.0,0.0,0.0,1.0
25,15933.49125,162.0,116.0,1.0,0.0,0.0,1.0
26,15933.881249999999,154.0,101.0,1.0,0.0,0.0,1.0
27,15934.0425,159.0,119.0,1.0,0.0,0.0,1.0
28,15934.199999999999,136.0,112.0,0.0,0.0,0.0,1.0
29,15934.222499999998,132.0,113.0,0.0,0.0,0.0,1.0
30,15934.425,157.0,102.0,1.0,0.0,0.0,1.0
31,15934.852499999999,147.0,124.0,1.0,0.0,0.0,1.0
32,15935.197499999998,146.0,115.0,0.0,0.0,0.0,1.0
33,15935.231249999999,138.0,108.0,0.0,0.0,0.0,1.0
34,15935.384999999998,153.0,105.0,1.0,0.0,0.0,1.0
35,15935.49375,135.0,120.0,0.0,0.0,0.0,1.0
36,15935.74125,138.0,106.0,0.0,0.0,0.0,1.0
37,15935.812499999998,163.0,119.0,1.0,0.0,0.0,1.0
38,15935.883749999999,152.0,98.0,1.0,0.0,0.0,1.0
39,15935.977499999999,153.0,101.0,1.0,0.0,0.0,1.0
40,15936.435,153.0,104.0,1.0,0.0,0.0,1.0
41,15936.435,141.0,117.0,0.0,0.0,0.0,1.0
42,15936.4425,141.0,116.0,0.0,0.0,0.0,1.0
43,15936.57,134.0,114.0,0.0,0.0,0.0,1.0
44,15936.592499999999,143.0,115.0,0.0,0.0,0.0,1.0
45,15936.783749999999,142.0,119.0,0.0,0.0,0.0,1.0
46,15936.85875,145.0,116.0,0.0,0.0,0.0,1.0
47,15937.18875,151.0,107.0,1.0,0.0,0.0,1.0
48,15937.691249999998,135.0,109.0,0.0,0.0,0.0,1.0
49,15937.961249999998,132.0,109.0,0.0,0.0,0.0,1.0
50,15938.021249999998,162.0,118.0,1.0,0.0,0.0,1.0
51,15938.238749999999,160.0,117.0,1.0,0.0,0.0,1.0
52,15938.2725,154.0,99.0,1.0,0.0,0.0,1.0
53,15938.891249999999,151.0,106.0,1.0,0.0,0.0,1.0
54,15939.029999999999,158.0,121.0,1.0,0.0,0.0,1.0
55,15939.217499999999,149.0,124.0,1.0,0.0,0.0,1.0
56,15939.28875,153.0,98.0,1.0,0.0,0.0,1.0
57,15939.435,148.0,114.0,0.0,0.0,0.0,1.0
58,15939.8175,146.0,111.0,0.0,0.0,0.0,1.0
59,15940.773749999998,163.0,116.0,1.0,0.0,0.0,1.0
60,15941.096249999999,143.0,130.0,0.0,0.0,0.0,1.0
61,15941.8725,132.0,110.0,0.0,0.0,0.0,1.0
62,15942.15,158.0,120.0,1.0,0.0,0.0,1.0
63,15942.172499999999,159.0,124.0,1.0,0.0,0.0,1.0
64,15942.869999999999,150.0,120.0,1.0,0.0,0.0,1.0
65,15942.873749999999,152.0,106.0,1.0,0.0,0.0,1.0
66,15943.057499999999,151.0,123.0,1.0,0.0,0.0,1.0
67,15943.5225,151.0,124.0,1.0,0.0,0.0,1.0
68,15943.773749999998,143.0,116.0,0.0,0.0,0.0,1.0
69,15944.471249999999,160.0,124.0,1.0,0.0,0.0,1.0
70,15944.658749999999,153.0,121.0,1.0,0.0,0.0,1.0
71,15944.771249999998,151.0,102.0,1.0,0.0,0.0,1.0
72,15945.11625,144.0,115.0,0.0,0.0,0.0,1.0
73,15945.322499999998,142.0,120.0,0.0,0.0,0.0,1.0
74,15945.326249999998,153.0,106.0,1.0,0.0,0.0,1.0
75,15945.333749999998,152.0,121.0,1.0,0.0,0.0,1.0
76,15945.611249999998,159.0,120.0,1.0,0.0,0.0,1.0
77,15945.704999999998,147.0,107.0,0.0,0.0,0.0,1.0
78,15945.708749999998,144.0,117.0,0.0,0.0,0.0,1.0
79,15945.877499999999,157.0,119.0,1.0,0.0,0.0,1.0
80,15945.99375,160.0,120.0,1.0,0.0,0.0,1.0
81,15946.361249999998,153.0,122.0,1.0,0.0,0.0,1.0
82,15946.758749999999,153.0,103.0,1.0,0.0,0.0,1.0
83,15946.871249999998,161.0,118.0,1.0,0.0,0.0,1.0
84,15947.339999999998,161.0,119.0,1.0,0.0,0.0,1.0
85,15947.467499999999,143.0,128.0,0.0,0.0,0.0,1.0
86,15947.654999999999,151.0,121.0,1.0,0.0,0.0,1.0
87,15947.703749999999,150.0,126.0,1.0,0.0,0.0,1.0
88,15948.0075,161.0,115.0,1.0,0.0,0.0,1.0
89,15948.95625,148.0,125.0,1.0,0.0,0.0,1.0
90,15949.05375,145.0,110.0,0.0,0.0,0.0,1.0
91,15949.177499999998,157.0,120.0,1.0,0.0,0.0,1.0
92,15949.23375,142.0,111.0,0.0,0.0,0.0,1.0
93,15949.27875,160.0,119.0,1.0,0.0,0.0,1.0
94,15949.548749999998,136.0,116.0,0.0,0.0,0.0,1.0
95,15949.964999999998,152.0,107.0,1.0,0.0,0.0,1.0
96,15950.26875,148.0,111.0,0.0,0.0,0.0,1.0
97,15950.336249999998,146.0,123.0,1.0,0.0,0.0,1.0
98,15950.703749999999,143.0,108.0,0.0,0.0,0.0,1.0
99,15952.361249999998,151.0,104.0,1.0,0.0,0.0,1.0
100,15952.425,143.0,114.0,0.0,0.0,0.0,1.0
101,15952.75125,150.0,121.0,1.0,0.0,0.0,1.0
102,15955.304999999998,145.0,117.0,0.0,0.0,0.0,1.0
