,timestamp,x,y,polarity,_p1,_p2,predict
0,14550.086249999998,192.0,42.0,1.0,0.0,0.0,0.0
1,14550.11625,193.0,51.0,1.0,0.0,0.0,0.0
2,14550.401249999999,201.0,66.0,0.0,0.0,0.0,0.0
3,14550.982499999998,189.0,56.0,1.0,0.0,0.0,0.0
4,14551.244999999999,195.0,51.0,1.0,0.0,0.0,0.0
5,14551.256249999999,194.0,56.0,1.0,0.0,0.0,0.0
6,14551.402499999998,204.0,43.0,1.0,0.0,0.0,0.0
7,14551.41,193.0,47.0,1.0,0.0,0.0,0.0
8,14552.287499999999,189.0,38.0,1.0,0.0,0.0,0.0
9,14552.30625,199.0,45.0,1.0,0.0,0.0,0.0
10,14552.321249999999,185.0,41.0,0.0,0.0,0.0,0.0
11,14552.41125,197.0,51.0,1.0,0.0,0.0,0.0
12,14552.92125,189.0,39.0,1.0,0.0,0.0,0.0
13,14553.34125,185.0,58.0,1.0,0.0,0.0,0.0
14,14553.547499999999,196.0,45.0,1.0,0.0,0.0,0.0
15,14553.588749999999,177.0,31.0,1.0,0.0,0.0,0.0
16,14553.80625,188.0,66.0,0.0,0.0,0.0,0.0
17,14553.8175,193.0,71.0,0.0,0.0,0.0,0.0
18,14554.121249999998,205.0,47.0,1.0,0.0,0.0,0.0
19,14554.27125,193.0,44.0,1.0,0.0,0.0,0.0
20,14554.383749999999,188.0,41.0,1.0,0.0,0.0,0.0
21,14554.529999999999,190.0,46.0,1.0,0.0,0.0,0.0
22,14554.631249999999,179.0,28.0,1.0,0.0,0.0,0.0
23,14554.811249999999,181.0,26.0,1.0,0.0,0.0,0.0
24,14554.908749999999,191.0,47.0,1.0,0.0,0.0,0.0
25,14554.9275,209.0,41.0,1.0,0.0,0.0,0.0
26,14555.02125,192.0,47.0,1.0,0.0,0.0,0.0
27,14555.07,199.0,50.0,1.0,0.0,0.0,0.0
28,14555.204999999998,192.0,54.0,1.0,0.0,0.0,0.0
29,14555.22,206.0,42.0,1.0,0.0,0.0,0.0
30,14555.54625,205.0,42.0,1.0,0.0,0.0,0.0
31,14555.72625,190.0,52.0,1.0,0.0,0.0,0.0
32,14555.87625,194.0,49.0,1.0,0.0,0.0,0.0
33,14555.996249999998,203.0,41.0,1.0,0.0,0.0,0.0
